names,date_x,score,genre,overview,crew,orig_title,status,orig_lang,budget_x,revenue,country
Jennifer's Body,03/31/2010 ,59.0,"Horror, Comedy","Jennifer, a gorgeous, seductive cheerleader takes evil to a whole new level after she's possessed by a sinister demon. Now it's up to her best friend to stop Jennifer's reign of terror before it's too late.","Megan Fox, Jennifer Check, Amanda Seyfried, Anita “Needy” Lesnicky, Johnny Simmons, Chip Dove, Adam Brody, Nikolai Wolf, J.K. Simmons, Mr. Wroblewski, Amy Sedaris, Toni Lesnicky, Kyle Gallner, Colin Gray, Chris Pratt, Roman Duda, Cynthia Stevenson, Mrs. Dove",Jennifer's Body, Released, English,16000000.0,31943401.0,AU
Sinbad: Legend of the Seven Seas,07/03/2003 ,69.0,"Family, Animation, Adventure, Comedy, Fantasy, Action","The sailor of legend is framed by the goddess Eris for the theft of the Book of Peace, and must travel to her realm at the end of the world to retrieve it and save the life of his childhood friend Prince Proteus.","Brad Pitt, Sinbad (voice), Catherine Zeta-Jones, Marina (voice), Michelle Pfeiffer, Eris (voice), Joseph Fiennes, Proteus (voice), Dennis Haysbert, Kale (voice), Timothy West, Dymas (voice), Adriano Giannini, Rat (voice), Raman Hui, Jin (voice), Chung Chan, Li (voice)",Sinbad: Legend of the Seven Seas, Released, English,60000000.0,80767884.0,AU
Spy Kids: All the Time in the World,09/15/2011 ,47.0,"Family, Comedy, Action","Eight years after the third film, the OSS has become the world's top spy agency, while the Spy Kids department has since become defunct. A retired spy Marissa is thrown back into the action along with her stepchildren when a maniacal Timekeeper attempts to take over the world. In order to save the world, Rebecca and Cecil must team up with their hated stepmother. Carmen and Juni have since also grown up and will provide gadgets to them.","Jessica Alba, Marissa Wilson, Joel McHale, Wilbur Wilson, Rowan Blanchard, Rebecca Wilson, Mason Cook, Cecil Wilson, Jeremy Piven, Danger D'Amo / Tick Tock / Time Keeper, Alexa PenaVega, Carmen Cortez, Daryl Sabara, Juni Cortez, Danny Trejo, Uncle Machete, Belle Solorzano, Spy Baby",Spy Kids: All the Time in the World, Released, English,27000000.0,80681183.0,AU
The Fist of the Condor,04/04/2023 ,0.0,"Action, Drama",A group of martial artists from around the world search for a book that contains the ancient secrets of how to overcome the limits of the human body.,"Marko Zaror, El Guerrero, Eyal Meyer, Kalari, Gina Aguad, Mujer Cóndor, Fernanda Urrejola, Marla, Man Soo Yoon, Wook, José Manuel, El Oponente, Cristian Garín, Motoquero Jefe, Francisco Castro, Hombre del Bosque", El Puño del Cóndor, Released," Spanish, Castilian",183540000.0,178359863.0,US
Quarantine 2: Terminal,06/16/2011 ,57.0,"Horror, Mystery, Science Fiction",A plane is taken over by a mysterious virus. When the plane lands it is placed under quarantine. Now a group of survivors must band together to survive the quarantine.,"Mercedes Mason, Jenny, Josh Cooke, Henry, Bre Blair, Paula, Ignacio Serricchio, Ed Ramirez, Tyler Kunkle, Hvorst, George Back, Ralph Bundt, Jason Benjamin, CDC No 1, Lamar Stewart, Preston, Mattie Liptak, George",Quarantine 2: Terminal, Released, English,4000000.0,6747342.0,US
God of Gamblers,12/14/1989 ,71.0,"Action, Comedy, Drama","Ko Chun, an extremely talented and well known gambler. On the eve of a big confrontation with a famous Singaporean gambler, Ko walks into a trap set by Knife, an avid but a so-so gambler, meant for an Indian servant. Struck on the head, Ko suffers from amnesia and regresses to a child-like state. Knife takes care of Ko and begins to exploit Ko's gambling talents.","Chow Yun-fat, Ko Chun / 'The God of Gamblers', Andy Lau, Michael Chan / Little Knife / Dagger, Joey Wong, Jane, Sharla Cheung, Janet, Charles Heung, Lung Ng / Dragon Five, Lung Fong, Ko Yee, Bau Hon-Lam, Chan Kam Sing, Yeung Chak-Lam, Nam, Shing Fui-On, Big Mouth", 賭神, Released, Cantonese,26662400.0,4762337.0,HK
Black as Night,10/01/2021 ,56.0,"Horror, Thriller","A teenage girl with self-esteem issues finds confidence in the most unlikely way, by spending her summer battling vampires that prey on New Orleans' disenfranchised with the help of her best friend, the boy she's always pined for, and a peculiar rich girl.","Asjha Cooper, Shawna, Fabrizio Guido, Pedro, Craig Tate, Lefrak, Keith David, Babineaux, Mason Beauchamp, Chris, Abbie Gayle, Granya, Frankie Smith, Jamal, Kenneisha Thompson, Denise, Derek Roberts, Steven",Black as Night, Released, English,130200000.0,390377803.8,AU
Ice Age: The Meltdown,04/06/2006 ,67.0,"Animation, Family, Comedy, Adventure","Diego, Manny and Sid return in this sequel to the hit animated movie Ice Age. This time around, the deep freeze is over, and the ice-covered earth is starting to melt, which will destroy the trio's cherished valley. The impending disaster prompts them to reunite and warn all the other beasts about the desperate situation.","Ray Romano, Manny (voice), John Leguizamo, Sid (voice), Denis Leary, Diego (voice), Queen Latifah, Ellie (voice), Seann William Scott, Crash (voice), Josh Peck, Eddie (voice), Jay Leno, Fast Tony (voice), Will Arnett, Lone Gunslinger Vulture (voice), Chris Wedge, Scrat (voice)",Ice Age: The Meltdown, Released, English,75000000.0,651899282.0,AU
The Void,10/21/2016 ,59.0,"Mystery, Horror, Science Fiction","In the middle of a routine patrol, officer Daniel Carter happens upon a blood-soaked figure limping down a deserted stretch of road. He rushes the young man to a nearby rural hospital staffed by a skeleton crew, only to discover that patients and personnel are transforming into something inhuman. As the horror intensifies, Carter leads the other survivors on a hellish voyage into the subterranean depths of the hospital in a desperate bid to end the nightmare before it's too late.","Aaron Poole, Daniel Carter, Kathleen Munroe, Allison, Art Hindle, Mitchell, Daniel Fathers, Vincent, Kenneth Welsh, Dr. Richard Powell, Ellen Wong, Kim, Stephanie Belding, Beverly, Mik Byskov, Simon, Grace Munro, Maggie",The Void, Released, English,7001468.0,151042.0,CA
The Ice Age Adventures of Buck Wild,03/25/2022 ,67.0,"Animation, Comedy, Adventure, Family",The fearless one-eyed weasel Buck teams up with mischievous possum brothers Crash & Eddie as they head off on a new adventure into Buck's home: The Dinosaur World.,"Simon Pegg, Buck Wild (voice), Vincent Tong, Crash (voice), Aaron Harris, Eddie (voice), Utkarsh Ambudkar, Orson (voice), Justina Machado, Zee (or whatever her name is) (voice), Sean Kenin, Manny (voice), Dominique Jennings, Ellie (voice), Jake Green, Sid (voice), Skyler Stone, Diego (voice)",The Ice Age Adventures of Buck Wild, Released, English,143000000.0,508164908.0,AU
Shivers,10/10/1975 ,64.0,Horror,"The residents of a suburban high-rise apartment building are being infected by a strain of parasites that turn them into mindless, sex-crazed fiends out to infect others by the slightest sexual contact.","Paul Hampton, Roger St. Luc, Joe Silver, Rollo Linsky, Lynn Lowry, Nurse Forsythe, Barbara Steele, Betts, Allan Kolman, Nicholas Tudor, Susan Petrie, Janine Tudor, Ronald Mlodzik, Ronald Merrick, Barry Baldaro, Detective Heller, Vlasta Vrana, Kresimer Sviben",Shivers, Released, English,179000.0,1000000.0,CA
The Twelve Tasks of Asterix,10/20/1976 ,74.0,"Family, Animation, Comedy, Adventure","Asterix and Obelix depart on an adventure to complete twelve impossible tasks to prove to Caesar that they are as strong as the Gods. You'll roar with laughter as they outwit, outrun, and generally outrage the very people who are trying to prove them ""only human"".","Roger Carel, Astérix / Caius Pupus / Idéfix / deux sénateurs, Jacques Morel, Obélix / l’employé sur sa balançoire, Henri Labussière, L’huissier de la maison qui rend fou, Jean Martinelli, Jules César / Jupiter, Pierre Tornade, Abraracourcix / Assurancetourix, Roger Lumont, Cylindrique le Germain (voice), Gérard Hernandez, Le vénérable du sommet (voice), Henri Virlogeux, Panoramix / Iris / le décurion, Bernard Lavalette, Le préfet (voice)", Les 12 travaux d'Astérix, Released, French,92500000.0,540305844.8,FR
Suicide Squad: Hell to Pay,03/27/2018 ,71.0,"Science Fiction, Action, Animation",Task Force X targets a powerful mystical object that they will risk their lives to steal.,"Christian Slater, Floyd Lawton / Deadshot (voice), Tara Strong, Harleen Quinzel / Harley Quinn (voice), Billy Brown, Ben Turner / Bronze Tiger (voice), Liam McIntyre, George Harness / Captain Boomerang (voice), Vanessa Williams, Amanda Waller (voice), Kristin Bauer van Straten, Crystal Frost / Killer Frost (voice), Gideon Emery, Sameer Park / Copperhead (voice), C. Thomas Howell, Eobard Thawne / Professor Zoom (voice), Greg Grunberg, Steel Maxum (voice)",Suicide Squad: Hell to Pay, Released, English,148800000.0,745991790.4,AU
Love Lesson,12/05/2013 ,60.0,"Romance, Drama, Comedy","Korea's most popular song writer Hee-soo (Kim Seon-yeong) runs into a nineteen-year-old boy in the elevator. Hee-soo is inspired by a new song watching him shake at her figure. She starts to tell him about women under the excuse that she's teaching him music. They fall for each other but things get complicated when her life teacher, Joon-ho who taught her about life and music comes back...","Kim Sun-young, Hee-Soo, Byun Joon-suk, Seung-Ho, Heo Jung-min, Jay, Oh Cho-hee, Jessica, Min Ji-Hyuk, Joon-Ho, Nam Tae-boo, Beom-soo", 화려한 외출, Released, Korean,109600000.0,520431822.2,KR
Joe Dirt,08/10/2001 ,56.0,"Mystery, Adventure, Comedy, Romance, Drama","Joe Dirt is a janitor with a mullet hairdo, acid-washed jeans and a dream to find the parents that he lost at the Grand Canyon when he was a belligerent, trailer park-raised eight-year-old. Now, blasting Van Halen in his jacked-up economy car, the irrepressibly optimistic Joe hits the road alone in search of his folks.","David Spade, Joe Dirt, Brittany Daniel, Brandy, Dennis Miller, Zander Kelly, Adam Beach, Kicking Wing, Christopher Walken, Clem, Jaime Pressly, Jill, Kid Rock, Robby, Fred Ward, Joe's Dad, Caroline Aaron, Joe's Mom",Joe Dirt, Released, English,16000000.0,30987695.0,AU
Project A,12/22/1983 ,72.0,"Action, Comedy, Adventure","In late 19th Century Hong Kong the British may rule the land, but the pirates rule the waters. One Coast Guard officer is Dragon Ma, who is determined that his beloved Coast Guard will not be made a fool of.","Jackie Chan, Sergeant Dragon Ma Yue Lung, Sammo Hung, Fei, Yuen Biao, Captain Tzu, Dick Wei, Lor Sam Pau, Tai Bo, Tai Bo, Mars, Jaws, Isabella Wong, Winnie Chik, Kwan Hoi-San, Captain Chik, Lau Hak-Suen, Lieutenant Shih", A計劃, Released, Cantonese,120600000.0,505740474.2,HK
The Magic Roundabout,01/21/2007 ,53.0,"Animation, Family","A shaggy, candy-loving puppy named Dougal along with a group of friends embarks on a dangerous journey in an effort to imprison their oppressor -- the evil ice sorcerer ZeeBad (Zebedee's evil twin). As the world is placed in mortal danger Zeebad who wants to turn the world to ice. Doogal and his friends must recover 3 diamonds that are needed to stop him.","Robbie Williams, Dougal (voice), Kylie Minogue, Florence (voice), Ian McKellen, Zebedee (voice), Joanna Lumley, Ermintrude (voice), Jim Broadbent, Brian (voice), Bill Nighy, Dylan (voice), Tom Baker, Zeebad (voice), Ray Winstone, Soldier Sam (voice), Lee Evans, Train (voice)",The Magic Roundabout, Released, English,20000000.0,50224557.8,AU
Collision Earth,03/24/2011 ,62.0,"Action, Science Fiction, TV Movie",A huge solar flare blasts Mercury out of it's orbit and provides it with an intense magnetic field and it's on collision course for Earth.,"Andrew Airlie, Edward, Diane Farr, Victoria, Kirk Acevedo, James, Chad Krowchuk, Christopher, Jessica Parker Kennedy, Brooke, Adam Greydon Reid, Matthew, David Lewis, Marshall, Catherine Lough Haggquist, Jennifer",Collision Earth, Released, English,105400000.0,566928126.8,US
Tolkien,06/13/2019 ,70.0,"War, Drama, Romance","England, early 20th century. The future writer and philologist John Ronald Reuel Tolkien (1892-1973) and three of his schoolmates create a strong bond between them as they share the same passion for literature and art, a true fellowship that strengthens as they grow up, but the outbreak of World War I threatens to shatter it.","Nicholas Hoult, J.R.R. Tolkien, Lily Collins, Edith Bratt, Colm Meaney, Father Francis Morgan, Derek Jacobi, Professor Joseph Wright, Harry Gilby, Young J.R.R. Tolkien, Mimi Keene, Young Edith Bratt, Anthony Boyle, Geoffrey Bache Smith, Adam Bregman, Young Geoffrey Bache Smith, Patrick Gibson, Robert Q. Gilson",Tolkien, Released, English,20000000.0,8969227.0,AU
Scooby-Doo! and the Gourmet Ghost,08/28/2018 ,82.0,"Animation, Adventure, Crime, Family, Comedy","The Scooby gang visits a culinary resort run by Fred's uncle, Bobby Flay. While enjoying the sights, a ghost attacks the guests and destroys the resort, leaving the gang to put a stop to its threat.","Audrey Wasilewski, Chef Sue / Librarian (voice), Frank Welker, Scooby-Doo / Fred Jones (voice), Giada De Laurentiis, Giada De Laurentiis (voice), Salli Saffioti, Reporter / Nancy Metcalf (voice), Matthew Lillard, Shaggy Rogers (voice), Grey DeLisle, Daphne Blake (voice), Kate Micucci, Velma Dinkley (voice), Bobby Flay, Bobby Flay (voice), Jason Spisak, Bradley Bass (voice)",Scooby-Doo! and the Gourmet Ghost, Released, English,235000000.0,908565495.4,US
Wicked Little Things,11/17/2006 ,58.0,"Fantasy, Horror","Karen, Sarah, and Emma Tunney are all moving to a small town in Pennsylvania where, unknown to them, in 1913, a horrid mine accident trapped dozens of children alive, underground. But there's a problem. They're still alive.","Lori Heuring, Karen Tunny, Scout Taylor-Compton, Sarah Tunny, Chloë Grace Moretz, Emma Tunny, Geoffrey Lewis, Harold Thompson, Ben Cross, Aaron Hanks, Julie Rogers, Lisa, Michael McCoy, Walter, Velizar Binev, Bull Foreman, Martin McDougall, William Carlton",Wicked Little Things, Released, English,71600000.0,657398006.0,US
Lady Bird,01/23/2018 ,73.0,"Drama, Comedy","Lady Bird McPherson, a strong willed, deeply opinionated, artistic 17 year old comes of age in Sacramento. Her relationship with her mother and her upbringing are questioned and tested as she plans to head off to college.","Saoirse Ronan, Christine ""Lady Bird"" McPherson, Laurie Metcalf, Marion McPherson, Tracy Letts, Larry McPherson, Lucas Hedges, Danny O'Neill, Timothée Chalamet, Kyle Sheible, Beanie Feldstein, Julie Steffans, Stephen McKinley Henderson, Father Leviatch, Lois Smith, Sister Sarah Joan, Jordan Rodrigues, Miguel McPherson",Lady Bird, Released, English,10000000.0,80120944.0,AU
Firebreather,11/24/2010 ,75.0,"Fantasy, Animation, Action, Thriller, Family","It's not easy being a teen like Duncan. His mom wants him to pay more attention to his homework, while his dad - a 120-foot-tall monster known as a Kaiju - wants him to become the next King of All Monsters. When these worlds collide, Duncan must use his human wits and his Kaiju powers - including super strength, agility and the ability to breathe fire - to protect his family and friends from a giant monster rampage.","Dana Delany, Margaret Rosenblatt (voice), Jesse Head, Duncan Rosenblatt (voice), Dante Basco, Kenny Rogers (voice), Grey DeLisle, Ms. Dreakford (voice), Reed Diamond, Barnes (voice), Billy Evans, Steve (voice), Josh Keaton, Troy (voice), Jameson Moss, Big Rob (voice), Kevin Michael Richardson, Belloc (voice)",Firebreather, Released, English,129600000.0,635714642.0,US
Heaven Is for Real,04/16/2014 ,67.0,Drama,"The true story of the 4-year old son of a small-town pastor who, during emergency surgery, slips from consciousness and enters heaven. When he awakes, he recounts his experiences on the other side.","Greg Kinnear, Todd Burpo, Kelly Reilly, Sonja Burpo, Connor Corum, Colton, Thomas Haden Church, Jay Wilkins, Jacob Vargas, Michael, Lane Styles, Cassie, Darren Felbel, Mr. Parker, Ali Tataryn, Arch Angel #2, Jon Ted Wynne, Mr. Jackson",Heaven Is for Real, Released, English,12000000.0,101332962.0,US
Away,02/23/2020 ,64.0,"Animation, Drama, Adventure, Fantasy","After suffering a plane crash on a mysterious island, a young man embarks on an epic journey through forests, deserts and mountains trying to escape the shadow of a huge dark spirit.",,Away, Released, English,151400000.0,548528147.4,AU
Sex Is Zero,12/13/2002 ,61.0,"Comedy, Drama","Eunsik tries to pass the state exam while studying in college after his military service. One day, he meets a beautiful woman Eunhyo, and his life changes.","Im Chang-jung, Eun-shik, Ha Ji-won, Eun-hyo, Jin Jae-young, Ji-won, Yoo Chae-young, Yoo-mi, Shin Yi, Kyeong-joo, Ham So-won, Kim Hyun-hee, Yun Si-hu, Jo Yun-kyung, Choi Sung-kook, Choi Sung-kook, Choi Won-young, Park Chan-soo", 색즉시공, Released, Korean,63600000.0,580471102.4,KR
Teen Beach Movie,07/19/2013 ,69.0,"Family, Music, TV Movie, Comedy","Life's a beach for surfers Brady and McKenzie – until a rogue wave magically transports them inside the classic '60s beach party flick, ""Wet Side Story,"" where a full-blown rivalry between bikers and surfers threatens to erupt. There, amidst a sea of surfing, singing and dancing, Brady and Mack accidentally change the storyline, and the film’s dreamy hero and heroine fall for them instead of for each other!","Maia Mitchell, McKenzie 'Mack' Fox, Ross Lynch, Brady, Gracie Gillam, Lela, Garrett Clayton, Tanner, John DeLuca, Butchy, Chrissie Fit, Cheechee, Kevin Chamberlin, Dr. Fusion, Steve Valentine, Les Camembert, Jordan Fisher, Seacat",Teen Beach Movie, Released, English,8000000.0,0.0,US
Daddy Day Care,06/26/2003 ,59.0,"Comedy, Family","Two men get laid off and have to become stay-at-home dads when they can't find jobs, which inspires them to open their own day-care center.","Eddie Murphy, Charlie Hinton, Jeff Garlin, Phil, Steve Zahn, Marvin, Regina King, Kim Hinton, Kevin Nealon, Bruce, Jonathan Katz, Dan Kubitz, Siobhan Fallon Hogan, Peggy, Lisa Edelstein, Crispin's Mom, Lacey Chabert, Jenny",Daddy Day Care, Released, English,60000000.0,164285587.0,AU
Urusei Yatsura: Only You,02/11/1983 ,64.0,"Animation, Romance, Science Fiction, Comedy, Family","Six-year-old Ataru steps on Elle's shadow during an impromptu game of shadow-tag; in Elle's culture, this is viewed as a marriage proposal. Eleven years later, Elle returns to Earth in order to marry Ataru — by which time not only had he forgotten the events of his childhood, but he was also going out with Lum. The rest of the plot focuses on Lum's attempts to prevent the marriage.  The film was directed by Mamoru Oshii who was mad at the many requests that the producer made of him to alter the movie. Rumiko Takahashi considers this film her favorite and it is the most true to the original series.","Toshio Furukawa, Ataru Moroboshi, Fumi Hirano, Lum, Saeko Shimazu, miyake shinobu, Akira Kamiya, mendo syutaro, Kazuko Sugiyama, Ten, Ichiro Nagai, Sakuran-bo, Machiko Washio, Sakura, Shigeru Chiba, Megane, Yoshiko Sakakibara, Otama", うる星やつら オンリー・ユー, Released, Japanese,82400000.0,421156804.4,JP
A Nightmare on Elm Street: The Dream Child,08/11/1989 ,54.0,"Horror, Thriller","Alice, having survived the previous installment of the Nightmare series, finds the deadly dreams of Freddy Krueger starting once again. This time, the taunting murderer is striking through the sleeping mind of Alice's unborn child. His intention is to be ""born again"" into the real world. The only one who can stop Freddy is his dead mother, but can Alice free her spirit in time to save her own son?","Robert Englund, Freddy Krueger, Lisa Wilcox, Alice Johnson, Erika Anderson, Greta Gibson, Valorie Armstrong, Mrs. Jordan, Michael Ashton, Gurney Orderly, Kelly Jo Minter, Yvonne, Danny Hassel, Dan Jordan, Nicholas Mele, Dennis Johnson, Joe Seely, Mark Gray",A Nightmare on Elm Street: The Dream Child, Released, English,6000000.0,22168359.0,US
Bulletproof,11/21/1996 ,57.0,"Comedy, Crime, Action","An undercover police officer named Rock Keats befriends a drug dealer and car thief named Archie Moses in a bid to catch the villainous drug lord Frank Coltan. But the only problem is that Keats is a cop, his real name is Jack Carter, and he is working undercover with the LAPD to bust Moses and Colton at a sting operation the LAPD has set up.","Damon Wayans, Rock Keats / Jack Carter, Adam Sandler, Archie Moses, James Caan, Frank Colton, Jeep Swenson, Bledsoe, James Farentino, Capt. Jensen, Kristen Wilson, Traci, Larry McCoy, Detective Sulliman, Allen Covert, Detective Jones, Bill Nunn, Finch",Bulletproof, Released, English,25000000.0,22611954.0,AU
Gasoline Alley,02/25/2022 ,55.0,"Action, Thriller, Crime, Mystery","A man implicated in the triple homicide of three Hollywood starlets begins his own investigation. Needing assistance, he enlists the two detectives on his tail in order to expose a conspiracy more explosive than any of them imagined.","Devon Sawa, Jimmy Jayne, Bruce Willis, Detective Freeman, Luke Wilson, Detective Vargas, Kat Foster, Christine, Sufe Bradshaw, Eleanor Rogers, Johnny Dowers, Erasmus Alcindor, Kenny Wormald, , Angie Pack, Cassandra, Rick Salomon, Percy Muleeny",Gasoline Alley, Released, English,176400000.0,247906129.4,US
Dances with Wolves,02/14/1991 ,79.0,"Adventure, Drama, Western","Wounded Civil War soldier, John Dunbar tries to commit suicide—and becomes a hero instead. As a reward, he's assigned to his dream post, a remote junction on the Western frontier, and soon makes unlikely friends with the local Sioux tribe.","Kevin Costner, Lieutenant Dunbar, Mary McDonnell, Stands With A Fist, Graham Greene, Kicking Bird, Rodney A. Grant, Wind In His Hair, Floyd Red Crow Westerman, Ten Bears, Tantoo Cardinal, Black Shawl, Robert Pastorelli, Timmons, Charles Rocket, Lieutenant Elgin, Maury Chaykin, Major Fambrough",Dances with Wolves, Released, English,19000000.0,424208805.0,AU
100 Streets,06/08/2016 ,62.0,Drama,"Three people, three extraordinary stories. All lived out within a hundred London streets.","Idris Elba, Max, Gemma Arterton, Emily, Tom Cullen, Jake, Ryan Gage, Vincent, Kierston Wareing, Kathy, Franz Drameh, Kingsley, Ken Stott, Terence, Charlie Creed-Miles, George, Lorraine Stanley, Tina",100 Streets, Released, English,110800000.0,408974526.0,US
Mortal Kombat Legends: Battle of the Realms,08/30/2021 ,78.0,"Animation, Action, Fantasy","The Earthrealm heroes must journey to the Outworld and fight for the survival of their homeland, invaded by the forces of evil warlord Shao Kahn, in the tournament to end all tournaments: the final Mortal Kombat.","Jordan Rodrigues, Liu Kang (voice), Jennifer Carpenter, Sonya Blade (voice), Joel McHale, Johnny Cage (voice), Patrick Seitz, Scorpion (voice), Dave B. Mitchell, Raiden / Kintaro / Sektor (voice), Bayardo De Murguia, Sub-Zero / Kuai Liang (voice), Fred Tatasciore, Shao Kahn (voice), Matthew Mercer, Smoke / Stryker (voice), Emily O'Brien, Jade / Mother (voice)",Mortal Kombat Legends: Battle of the Realms, Released, English,116000000.0,788968355.6,AU
Christmas with You,11/17/2022 ,58.0,"Romance, Comedy","Feeling career burnout, pop star Angelina escapes to grant a young fan's wish in small-town New York, where she not only finds the inspiration to revitalize her career but also a shot at true love.","Aimee Garcia, Angelina, Freddie Prinze Jr., Miguel, Deja Monique Cruz, Cristina, Zenzi Williams, Monique, Kyndra Sanchez, Gloria, Socorro Santiago, Frida, Helena Betancourt, Conchi, Elisa Bocanegra, Connie, Lawrence J. Hughes, Barry",Christmas with You, Released, English,157600000.0,277948016.0,US
Damage,02/05/1993 ,66.0,"Drama, Romance",The life of a respected British politician at the height of his career crumbles when he becomes obsessed with his son's lover.,"Jeremy Irons, Dr. Stephen Fleming, Juliette Binoche, Anna Barton, Miranda Richardson, Ingrid Fleming, Rupert Graves, Martyn Fleming, Peter Stormare, Peter Wetzler, Gemma Clarke, Sally Fleming, Ian Bannen, Edward Lloyd, Julian Fellowes, Donald Lyndsay, MP, Leslie Caron, Elizabeth Prideaux",Damage, Released, English,42910000.0,7532911.0,GB
Thunder Monk,04/06/2023 ,0.0,"Action, Comedy","The story of Phra Jued (Oat), a monk with a strange destiny Had to run away from the lightning in a chaotic manner because he had to bind the karma together with the shaman named Pak Pao (Pop) in his previous life. What kind of karma did the puffer do? All karmic results are pushed down to the Buddha image. In addition, the puffer doctor pushed to swear by the lightning. in order to appease the girl who herself flirts again The fresh monk was struck by a cross and struck by lightning as well. Therefore hurried to stop the puffer doctor in order to save himself from death. But the puffer doctor didn't believe it. The chaotic story of the two of them happened. Both the monks and shamans had to run away from the lightning in chaos. Will this mission of Phra Dued be successful or not? will survive from being struck by lightning or not, can be tracked in my lightning ego.","Pramote Pathan, , Pongkool Suebsung, , Sananthachat Thanapatpisal, , Carissa Springett, ",Thunder Monk, Released, Thai,198000000.0,175269998.8,TH
Easter Sunday,08/05/2022 ,60.0,Comedy,"A man returns home for an Easter celebration with his riotous, bickering, eating, drinking, laughing, loving family, in this love letter to the Filipino-American community.","Jo Koy, Joe Valencia, Lydia Gaston, Susan Valencia, Brandon Wardell, Joe Valencia Jr., Eva Noblezada, Tala, Carly Pope, Catherine, Jay Chandrasekhar, Nick, Tia Carrere, Tita Teresa, Melody Butiu, Tita Yvonne, Joey Guila, Tito Manny",Easter Sunday, Released, English,17000000.0,13071438.0,US
Enigma,01/22/2001 ,64.0,"Mystery, Drama, Thriller, Romance, War","The story of the WWII project to crack the code behind the Enigma machine, used by the Germans to encrypt messages sent to their submarines.","Dougray Scott, Tom Jericho, Kate Winslet, Hester Wallace, Saffron Burrows, Claire Romilly, Jeremy Northam, Mr. Wigram, Nikolaj Coster-Waldau, Puck, Tom Hollander, Logie, Donald Sumpter, Leveret, Matthew Macfadyen, Cave, Richard Leaf, Baxter",Enigma, Released, English,42360000.0,15705007.0,US
G-Force,09/17/2009 ,55.0,"Animation, Family, Fantasy, Action, Adventure, Comedy","A team of trained secret agent animals, guinea pigs Darwin, Hurley, Juarez, Blaster, mole Speckles, and fly Mooch takes on a mission for the US government to stop evil Leonard Saber, who plans to destroy the world with household appliances. But the government shuts them down and they are sentenced to a pet shop. Can they escape to defeat the villain and save the world?","Sam Rockwell, Darwin the Guinea Pig (voice), Jon Favreau, Hurley the Guinea Pig (voice), Tracy Morgan, Blaster the Guinea Pig (voice), Penélope Cruz, Juarez the Guinea Pig (voice), Nicolas Cage, Speckles the Mole (voice), Dee Bradley Baker, Mooch the Fly (voice), Bill Nighy, Leonard Saber, Will Arnett, Kip Killian, Zach Galifianakis, Ben",G-Force, Released, English,150000000.0,292817841.0,AU
Sleeping with Other People,08/02/2015 ,63.0,Comedy,"Can two serial cheaters get a second chance at love? After a one-night stand in college, New Yorkers Lainey and Jake meet by chance twelve years later and discover they each have the same problem: because of their monogamy-challenged ways, neither can maintain a relationship. Determined to stay friends despite their mutual attraction, they make a pact to keep it platonic, a deal that proves easier said than done.","Jason Sudeikis, Jake, Alison Brie, Lainey Dalton, Adam Scott, Matthew Sobvechik, Jason Mantzoukas, Xander, Natasha Lyonne, Kara, Adam Brody, Sam, Amanda Peet, Paula, Katherine Waterston, Emma, Marc Blucas, Chris Smith",Sleeping with Other People, Released, English,6548225.8,3214116.0,AU
Casino Royale,12/07/2006 ,75.0,"Adventure, Action, Thriller","Le Chiffre, a banker to the world's terrorists, is scheduled to participate in a high-stakes poker game in Montenegro, where he intends to use his winnings to establish his financial grip on the terrorist market. M sends Bond—on his maiden mission as a 00 Agent—to attend this game and prevent Le Chiffre from winning. With the help of Vesper Lynd and Felix Leiter, Bond enters the most important poker game in his already dangerous career.","Daniel Craig, James Bond, Eva Green, Vesper Lynd, Mads Mikkelsen, Le Chiffre, Judi Dench, M, Jeffrey Wright, Felix Leiter, Giancarlo Giannini, René Mathis, Caterina Murino, Solange Dimitrios, Simon Abkarian, Alex Dimitrios, Isaach De Bankolé, Steven Obanno",Casino Royale, Released, English,12000000.0,41744718.0,AU
Hatching,05/26/2022 ,63.0,"Horror, Fantasy","12 year old Tinja is desperate to please her mother, a woman obsessed with presenting the image of a perfect family. One night, Tinja finds a strange egg. What hatches is beyond belief.","Siiri Solalinna, Tinja, Sophia Heikkilä, Mother, Jani Volanen, Father, Reino Nordin, Tero, Oiva Ollila, Matias, Saija Lentonen, Coach, Ida Määttänen, Reetta, Stella Leppikorpi, Gym friend, Jonna Aaltonen, Alli early stages 1", Pahanhautoja, Released, Finnish,3896000.0,490000.0,AU
Dracula,02/14/1931 ,72.0,"Horror, Drama, Fantasy","British estate agent Renfield travels to Transylvania to meet with the mysterious Count Dracula, who is interested in leasing a castle in London and is, unbeknownst to Renfield, a vampire. After Dracula enslaves Renfield and drives him to insanity, the pair sail to London together, and as Dracula begins preying on London socialites, the two become the subject of study for a supernaturalist professor, Abraham Van Helsing.","Bela Lugosi, Count Dracula, Helen Chandler, Mina Seward, David Manners, John Harker, Dwight Frye, Renfield, Edward Van Sloan, Professor Abraham Van Helsing, Herbert Bunston, Dr. Jack Seward, Frances Dade, Lucy Weston, Joan Standing, Nurse Briggs (uncredited), Charles K. Gerrard, Martin",Dracula, Released, English,355000.0,700000.0,US
